ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
4806|SPTdt|CCDF_CRC_RAVS|Frame_EjecutaSP.py|4805|06/12/2021|00:30:00|1|102|1|21|21||24/05/2022|307|5
2248|FLoad|GST_GT63_PCAVEMAS|Frame_FLoad_TDT.py|2247|13/10/2020|01:30:00|1|101|0|1|1||13/10/2020|1720|2
192|RNTdt|MOVCONNC|Frame_TransformaRN.py|191|30/10/2019|00:15:00|30|101|1|1|||12/11/2019|1373|3
7045|SPTdt|RTREPANUCAEQ|Frame_EjecutaSP.py|7044|01/05/2021|14:00:00|1|102|1|10|10||06/06/2024|173|5
587|FTP|CCSCLIMT|Frame_FtpGet.py|0|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1497|1
825|RNTdt|CUSTOMER_SUB_TYPE|Frame_TransformaRN.py|824|17/06/2020|02:00:00|1|101|1|1|1||16/06/2020|1562|3
7205|FTP|FB_KON_RETENCIONES_ABD_MOVIL_ULT|Frame_FtpGet.py|0|08/05/2024|08:00:00|1|101|1|1|1||20/01/2025|2392|1
226|FLoad|MOVNOTAC|Frame_FLoad_TDT.py|225|30/10/2019|00:15:00|30|101|1|1|||12/11/2019|1382|2
2961|ExTdt|CDFSTOCKEQ|Frame_Extractor.py|2958|12/05/2021|09:00:00|1|102|0|2|02||13/12/2021|568|7
545|FLoad|F1FACO01|Frame_FLoad_TDT.py|544|17/12/2019|16:00:00|2|102|0|2|02,06,16,19,24||01/01/2020|1486|2
3309|ExTdt|CDFSTOCKSIM|Frame_Extractor.py|2959|12/05/2021|09:00:00|1|102|1|2|02||13/12/2021|616|7
8538|FLoad|DANABITACORAERRORLOG|Frame_FLoad_TDT.py|8537|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2640|2
2253|ExGst|GT67_VERSION|Frame_Extract_Informix_Gestel.py|0|13/10/2020|01:30:00|1|101|0|1|1||13/10/2020|22442|13
626|FTP|FVCNPTDV|Frame_FtpGet.py|0|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1509|1
2044|RNTdt|MT_DEVTEC|Frame_TransformaRN.py|2043|22/07/2020|08:25:00|1|101|0|1|1||01/09/2020|1678|3
5475|FLoad|DITO_CON_A|Frame_FLoad_TDT.py|0|04/01/2023|03:00:00|1|101|1|1|1||09/01/2023|2034|2
685|SPTdt|PQIDPCMT|Frame_EjecutaSP.py|684|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|64|5
2694|FLoad|AR_INVOICE|Frame_FLoad_TDT.py|0|25/03/2021|02:00:00|1|101|1|1|1||20/04/2021|1816|2
6965|FLoad|FB_SOL_COMPLETAS|Frame_FLoad_TDT.py|6961|08/05/2024|08:00:00|1|101|1|1|1||23/05/2024|2325|2
6809|ExTdt|DTCANGRP14|Frame_Extractor.py|0|22/04/2024|08:30:00|1|101|1|1|1|DTCANSP,SPTdt|23/04/2024|797|7
604|RNTdt|CLCICLDT|Frame_TransformaRN.py|603|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1502|3
3373|RNTdt|AURA_CDRS_LV_2|Frame_TransformaRN.py|3372|10/07/2021|04:00:00|1|101|1|1|1||09/08/2021|1932|3
6797|ExTdt|DTCANGRP2|Frame_Extractor.py|0|22/04/2024|08:30:00|1|101|1|1|1|DTCANSP,SPTdt|23/04/2024|785|7
2837|FLoad|ATISDETFACA|Frame_FLoad_TDT.py|2836|30/03/2021|07:00:00|1|102|1|27|27,28,29,30,31||20/04/2022|1857|2
5819|FLoad|BM_BAJA_NOEJEC_OSIPTEL|Frame_FLoad_TDT.py|0|01/01/2022|09:25:00|1|101|1|1|1||03/04/2025|2080|2
3354|SPTdt|CGSITPED01|Frame_EjecutaSP.py|0|12/07/2021|06:00:00|1|101|1|1|1|"CAPRODSD,RNTdt|CTBLQSTD,RNTdt"|14/07/2021|316|5
8303|ExTdt|CAPL_BASE_MADRE|Frame_Extractor.py|8299|21/04/2025|10:00:00|1|104|1|2|2||22/04/2025|1056|7
2890|SPTdt|AbonPlanALDM|Frame_EjecutaSP.py|0|13/04/2021|02:00:00|1|101|1|1|1|"ASSIGNED_BILLING_OFFER_DWH,RNTdt|SUBSCRIBER_DWH,RNTdt"|20/05/2021|245|5
766|RNTdt|TFAVPTMT|Frame_TransformaRN.py|765|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1550|3
910|FLoad|MAEPANAG|Frame_FLoad_TDT.py|909|12/03/2020|00:15:00|1|101|1|1|1||12/03/2020|1613|2
